???? ????? ??( 20220804 ?? ),,,,,,,
"?? : ?????, ??? : ??(? / ? / ?)",,,,,,,
?? : 2014? 07 ? ~ 2014? 12?,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201412,?????,??(? / ? / ?),???,"24,455 ","707,283,887 ","89,558,687,392 ",126.6 
201412,?????,??(? / ? / ?),???,"9,625 ","9,843,483 ","494,729,209 ",50.3 
201412,?????,??(? / ? / ?),???,"76,743 ","16,558,520 ","1,733,751,825 ",104.7 
201412,?????,??(? / ? / ?),? ?,"25,444 ","47,936,200 ","3,648,576,296 ",76.1 
??,??,??,??,"7,497,936","9,955,421,004","1,234,466,229,510",124
,,,,,,,
??,??,???,????,????(?),???(kWh),????(?),??????(?/kWh)
201407,?????,???,???,"4,563 ","1,794,965 ","220,206,246 ",122.7 
201407,?????,???,???,44 ,"529,660 ","78,479,160 ",148.2 
201407,?????,???,???,"4,603 ","2,977,676 ","153,017,666 ",51.4 
201407,?????,???,???,"4,909 ","252,491,328 ","32,724,417,678 ",129.6 
201407,?????,???,? ?,"2,166 ","1,077,027 ","60,586,766 ",56.3 
201407,?????,???,???,"7,421 ","20,708,486 ","3,260,696,200 ",157.5 
201407,?????,???,???,"19,087 ","7,710,040 ","1,003,899,288 ",130.2 
201407,?????,???,??,"42,793 ","287,289,182 ","37,501,303,004 ",130.5 
201407,?????,???,???,"4,910 ","765,837 ","88,947,175 ",116.1 
201407,?????,???,???,97 ,"5,271,273 ","674,505,109 ",128 
201407,?????,???,???,588 ,"177,534 ","11,820,219 ",66.6 
201407,?????,???,???,"1,422 ","21,516,084 ","2,904,000,794 ",135 
201407,?????,???,? ?,"2,239 ","1,375,964 ","80,172,361 ",58.3 
201407,?????,???,???,"15,067 ","31,226,623 ","4,696,546,593 ",150.4 
201407,?????,???,???,"79,305 ","25,380,184 ","3,086,932,921 ",121.6 
201407,?????,???,??,"103,628 ","85,713,499 ","11,542,925,172 ",134.7 
201407,?????,???,???,"5,439 ","1,063,678 ","125,301,307 ",117.8 
201407,?????,???,???,41 ,"600,148 ","92,334,374 ",153.9 
201407,?????,???,???,"3,919 ","2,172,539 ","111,817,073 ",51.5 
201407,?????,???,???,"1,332 ","43,071,189 ","6,284,101,916 ",145.9 
201407,?????,???,? ?,"1,884 ","1,235,890 ","74,267,726 ",60.1 
201407,?????,???,???,"6,979 ","17,115,183 ","2,566,096,145 ",149.9 
201407,?????,???,???,"26,474 ","7,956,108 ","927,392,075 ",116.6 
201407,?????,???,??,"46,068 ","73,214,735 ","10,181,310,616 ",139.1 
201407,?????,??,???,"5,751 ","846,523 ","97,201,122 ",114.8 
201407,?????,??,???,94 ,"5,507,168 ","693,492,683 ",125.9 
201407,?????,??,???,20 ,"60,073 ","2,698,078 ",44.9 
201407,?????,??,???,788 ,"45,859,010 ","5,167,922,356 ",112.7 
201407,?????,??,? ?,"1,387 ","1,422,068 ","98,844,022 ",69.5 
201407,?????,??,???,"11,862 ","29,540,318 ","4,450,277,543 ",150.7 
201407,?????,??,???,"82,845 ","30,030,769 ","3,671,137,484 ",122.2 
201407,?????,??,??,"102,747 ","113,265,929 ","14,181,573,288 ",125.2 
201407,?????,??,???,"3,563 ","415,431 ","48,887,188 ",117.7 
201407,?????,??,???,31 ,"505,251 ","73,735,487 ",145.9 
201407,?????,??,???,4 ,"5,838 ","349,963 ",59.9 
201407,?????,??,???,438 ,"6,654,509 ","819,993,638 ",123.2 
201407,?????,??,? ?,"1,135 ","935,493 ","53,048,580 ",56.7 
201407,?????,??,???,"7,599 ","25,087,700 ","3,738,602,127 ",149 
201407,?????,??,???,"40,999 ","9,129,141 ","1,061,769,942 ",116.3 
201407,?????,??,??,"53,769 ","42,733,363 ","5,796,386,925 ",135.6 
201407,?????,???,???,"4,777 ","615,778 ","73,673,164 ",119.6 
201407,?????,???,???,87 ,"1,511,388 ","219,611,079 ",145.3 
201407,?????,???,???,16 ,"19,791 ","970,779 ",49.1 
201407,?????,???,???,831 ,"7,658,140 ","884,578,355 ",115.5 
201407,?????,???,? ?,"2,212 ","858,807 ","47,601,559 ",55.4 
201407,?????,???,???,"15,517 ","36,133,186 ","5,379,607,655 ",148.9 
201407,?????,???,???,"72,176 ","27,725,583 ","3,449,966,398 ",124.4 
201407,?????,???,??,"95,616 ","74,522,673 ","10,056,008,989 ",134.9 
201407,?????,????,???,"9,925 ","1,225,976 ","140,993,683 ",115 
201407,?????,????,???,130 ,"4,091,377 ","553,566,453 ",135.3 
201407,?????,????,???,30 ,"100,987 ","4,444,013 ",44 
201407,?????,????,???,"1,916 ","18,870,294 ","2,345,660,126 ",124.3 
201407,?????,????,? ?,"3,384 ","2,200,074 ","134,962,144 ",61.3 
201407,?????,????,???,"22,755 ","70,759,689 ","10,475,916,707 ",148 
201407,?????,????,???,"105,373 ","41,135,864 ","4,897,777,301 ",119.1 
201407,?????,????,??,"143,513 ","138,384,261 ","18,553,320,427 ",134.1 
201407,?????,??,???,"3,714 ","550,848 ","66,166,298 ",120.1 
201407,?????,??,???,100 ,"1,870,754 ","270,879,869 ",144.8 
201407,?????,??,???,78 ,"29,702 ","1,562,522 ",52.6 
201407,?????,??,???,695 ,"9,286,017 ","1,112,507,449 ",119.8 
201407,?????,??,? ?,"1,501 ","783,410 ","45,462,705 ",58 
201407,?????,??,???,"10,495 ","28,817,986 ","4,226,465,816 ",146.7 
201407,?????,??,???,"58,809 ","29,999,809 ","3,482,770,814 ",116.1 
201407,?????,??,??,"75,392 ","71,338,526 ","9,205,815,473 ",129 
201407,?????,???,???,"3,966 ","737,824 ","85,352,155 ",115.7 
201407,?????,???,???,82 ,"3,257,744 ","431,880,160 ",132.6 
201407,?????,???,???,26 ,"176,775 ","8,277,690 ",46.8 
201407,?????,???,???,"5,312 ","90,912,272 ","12,958,610,621 ",142.5 
201407,?????,???,? ?,"1,385 ","1,139,417 ","72,421,599 ",63.6 
201407,?????,???,???,"13,397 ","35,807,923 ","5,273,689,743 ",147.3 
201407,?????,???,???,"55,300 ","22,973,353 ","2,569,223,461 ",111.8 
201407,?????,???,??,"79,468 ","155,005,308 ","21,399,455,429 ",138.1 
201407,?????,???,???,"5,383 ","724,019 ","87,180,563 ",120.4 
201407,?????,???,???,112 ,"3,050,642 ","408,337,687 ",133.9 
201407,?????,???,???,21 ,"49,618 ","2,272,840 ",45.8 
201407,?????,???,???,"2,654 ","175,358,104 ","22,047,019,882 ",125.7 
201407,?????,???,? ?,"1,590 ","973,197 ","56,189,742 ",57.7 
201407,?????,???,???,"14,164 ","32,787,082 ","4,910,504,084 ",149.8 
201407,?????,???,???,"88,323 ","33,025,071 ","3,802,336,409 ",115.1 
201407,?????,???,??,"112,247 ","245,967,733 ","31,313,841,207 ",127.3 
201407,?????,??,???,"4,934 ","422,709 ","49,467,278 ",117 
201407,?????,??,???,43 ,"1,455,563 ","195,789,657 ",134.5 
201407,?????,??,???,26 ,"299,906 ","17,266,508 ",57.6 
201407,?????,??,???,475 ,"15,051,451 ","1,778,246,084 ",118.1 
201407,?????,??,? ?,"1,366 ","856,911 ","53,364,519 ",62.3 
201407,?????,??,???,"6,631 ","17,691,964 ","2,568,296,295 ",145.2 
201407,?????,??,???,"48,835 ","11,123,547 ","1,305,933,463 ",117.4 
201407,?????,??,??,"62,310 ","46,902,051 ","5,968,363,804 ",127.3 
201407,?????,???,???,"3,775 ","427,420 ","51,370,178 ",120.2 
201407,?????,???,???,40 ,"542,800 ","82,956,630 ",152.8 
201407,?????,???,???,10 ,"27,578 ","1,221,081 ",44.3 
201407,?????,???,???,418 ,"1,016,440 ","150,031,236 ",147.6 
201407,?????,???,? ?,"1,211 ","731,100 ","42,048,732 ",57.5 
201407,?????,???,???,"10,041 ","23,860,977 ","3,521,674,990 ",147.6 
201407,?????,???,???,"55,055 ","18,576,743 ","2,279,112,627 ",122.7 
201407,?????,???,??,"70,550 ","45,183,058 ","6,128,415,474 ",135.6 
201407,?????,???,???,"4,418 ","474,243 ","54,722,558 ",115.4 
201407,?????,???,???,49 ,"1,148,349 ","162,449,837 ",141.5 
201407,?????,???,???,8 ,"5,782 ","265,632 ",45.9 
201407,?????,???,???,588 ,"6,626,386 ","841,455,949 ",127 
201407,?????,???,? ?,"1,408 ","1,403,866 ","89,600,141 ",63.8 
201407,?????,???,???,"10,712 ","32,984,626 ","4,894,930,912 ",148.4 
201407,?????,???,???,"55,147 ","21,056,084 ","2,551,257,274 ",121.2 
201407,?????,???,??,"72,330 ","63,699,336 ","8,594,682,303 ",134.9 
201407,?????,???,???,"4,428 ","344,993 ","42,395,360 ",122.9 
201407,?????,???,???,49 ,"2,251,867 ","268,274,408 ",119.1 
201407,?????,???,???,1 ,"2,612 ","128,225 ",49.1 
201407,?????,???,???,997 ,"10,072,859 ","1,481,076,491 ",147 
201407,?????,???,? ?,"1,203 ","735,945 ","41,048,559 ",55.8 
201407,?????,???,???,"5,920 ","10,867,913 ","1,640,941,332 ",151 
201407,?????,???,???,"46,290 ","12,700,966 ","1,441,161,068 ",113.5 
201407,?????,???,??,"58,888 ","36,977,155 ","4,915,025,443 ",132.9 
201407,?????,??,???,"1,809 ","339,968 ","40,378,394 ",118.8 
201407,?????,??,???,20 ,"268,973 ","40,088,425 ",149 
201407,?????,??,???,1 ,"3,388 ","146,559 ",43.3 
201407,?????,??,???,458 ,"969,679 ","135,041,132 ",139.3 
201407,?????,??,? ?,565 ,"402,071 ","23,786,091 ",59.2 
201407,?????,??,???,"9,054 ","29,799,242 ","4,463,201,601 ",149.8 
201407,?????,??,???,"24,487 ","4,595,069 ","529,523,167 ",115.2 
201407,?????,??,??,"36,394 ","36,378,390 ","5,232,165,369 ",143.8 
201407,?????,????,???,"4,738 ","1,503,309 ","175,373,256 ",116.7 
201407,?????,????,???,121 ,"2,635,163 ","380,919,755 ",144.6 
201407,?????,????,???,95 ,"279,921 ","12,802,282 ",45.7 
201407,?????,????,???,995 ,"20,458,875 ","2,623,321,638 ",128.2 
201407,?????,????,? ?,"1,137 ","3,006,660 ","187,825,913 ",62.5 
201407,?????,????,???,"13,631 ","77,268,648 ","11,040,401,524 ",142.9 
201407,?????,????,???,"70,987 ","50,034,970 ","6,579,907,120 ",131.5 
201407,?????,????,??,"91,704 ","155,187,546 ","21,000,551,488 ",135.3 
201408,?????,???,???,"4,575 ","1,776,925 ","217,088,945 ",122.2 
201408,?????,???,???,44 ,"448,475 ","70,648,395 ",157.5 
201408,?????,???,???,"4,613 ","4,063,168 ","187,940,706 ",46.3 
201408,?????,???,???,"4,939 ","236,050,151 ","30,365,049,697 ",128.6 
201408,?????,???,? ?,"2,164 ","812,741 ","46,202,076 ",56.8 
201408,?????,???,???,"7,473 ","22,895,054 ","3,455,066,999 ",150.9 
201408,?????,???,???,"19,169 ","9,058,053 ","1,357,540,548 ",149.9 
201408,?????,???,??,"42,977 ","275,104,567 ","35,699,537,366 ",129.8 
201408,?????,???,???,"4,911 ","777,965 ","88,599,746 ",113.9 
201408,?????,???,???,98 ,"5,913,862 ","736,607,876 ",124.6 
201408,?????,???,???,594 ,"217,803 ","13,441,205 ",61.7 
201408,?????,???,???,"1,425 ","20,911,922 ","2,778,609,711 ",132.9 
201408,?????,???,? ?,"2,231 ","1,158,549 ","67,702,743 ",58.4 
201408,?????,???,???,"15,086 ","35,119,127 ","5,079,502,714 ",144.6 
201408,?????,???,???,"79,364 ","29,000,247 ","3,999,810,156 ",137.9 
201408,?????,???,??,"103,709 ","93,099,475 ","12,764,274,151 ",137.1 
201408,?????,???,???,"5,486 ","1,213,504 ","138,729,418 ",114.3 
201408,?????,???,???,41 ,"695,425 ","101,872,442 ",146.5 
201408,?????,???,???,"3,931 ","2,410,154 ","121,849,779 ",50.6 
201408,?????,???,???,"1,338 ","43,493,864 ","6,320,025,777 ",145.3 
201408,?????,???,? ?,"1,880 ","1,155,756 ","72,227,184 ",62.5 
201408,?????,???,???,"7,019 ","19,284,931 ","2,792,734,501 ",144.8 
201408,?????,???,???,"26,534 ","8,872,190 ","1,146,544,547 ",129.2 
201408,?????,???,??,"46,229 ","77,125,824 ","10,693,983,648 ",138.7 
201408,?????,??,???,"5,752 ","893,303 ","99,506,616 ",111.4 
201408,?????,??,???,94 ,"5,626,233 ","696,703,452 ",123.8 
201408,?????,??,???,21 ,"70,651 ","3,175,162 ",44.9 
201408,?????,??,???,788 ,"45,253,734 ","4,985,387,156 ",110.2 
201408,?????,??,? ?,"1,383 ","1,547,376 ","107,525,036 ",69.5 
201408,?????,??,???,"11,853 ","33,604,545 ","4,842,833,702 ",144.1 
201408,?????,??,???,"82,698 ","33,767,497 ","4,642,820,579 ",137.5 
201408,?????,??,??,"102,589 ","120,763,339 ","15,377,951,703 ",127.3 
201408,?????,??,???,"3,564 ","424,513 ","48,493,399 ",114.2 
201408,?????,??,???,31 ,"518,533 ","75,309,526 ",145.2 
201408,?????,??,???,4 ,"6,666 ","384,053 ",57.6 
201408,?????,??,???,445 ,"6,528,532 ","803,877,066 ",123.1 
201408,?????,??,? ?,"1,129 ","762,205 ","43,701,489 ",57.3 
201408,?????,??,???,"7,602 ","27,424,394 ","3,941,311,441 ",143.7 
201408,?????,??,???,"40,982 ","10,389,344 ","1,368,321,670 ",131.7 
201408,?????,??,??,"53,757 ","46,054,187 ","6,281,398,644 ",136.4 
201408,?????,???,???,"4,801 ","637,833 ","74,293,200 ",116.5 
201408,?????,???,???,87 ,"1,355,965 ","209,316,373 ",154.4 
201408,?????,???,???,16 ,"20,401 ","999,379 ",49 
201408,?????,???,???,831 ,"7,806,862 ","879,524,805 ",112.7 
201408,?????,???,? ?,"2,198 ","687,761 ","38,496,200 ",56 
201408,?????,???,???,"15,557 ","40,639,964 ","5,816,676,576 ",143.1 
201408,?????,???,???,"72,229 ","31,380,566 ","4,402,446,800 ",140.3 
201408,?????,???,??,"95,719 ","82,529,352 ","11,421,753,333 ",138.4 
201408,?????,????,???,"9,930 ","1,282,539 ","143,682,925 ",112 
201408,?????,????,???,131 ,"4,249,369 ","564,580,815 ",132.9 
201408,?????,????,???,30 ,"111,064 ","5,091,775 ",45.8 
201408,?????,????,???,"1,908 ","19,101,072 ","2,307,219,777 ",120.8 
201408,?????,????,? ?,"3,376 ","1,921,032 ","121,566,198 ",63.3 
201408,?????,????,???,"22,789 ","79,162,899 ","11,301,407,601 ",142.8 
201408,?????,????,???,"105,438 ","46,090,139 ","6,012,159,366 ",130.4 
201408,?????,????,??,"143,602 ","151,918,114 ","20,455,708,457 ",134.6 
201408,?????,??,???,"3,720 ","578,957 ","67,706,308 ",116.9 
201408,?????,??,???,100 ,"1,655,253 ","250,056,784 ",151.1 
201408,?????,??,???,78 ,"34,890 ","1,774,803 ",50.9 
201408,?????,??,???,694 ,"9,796,230 ","1,149,876,272 ",117.4 
201408,?????,??,? ?,"1,498 ","691,355 ","41,355,488 ",59.8 
201408,?????,??,???,"10,507 ","32,425,916 ","4,592,841,491 ",141.6 
201408,?????,??,???,"58,942 ","33,329,285 ","4,269,032,290 ",128.1 
201408,?????,??,??,"75,539 ","78,511,886 ","10,372,643,436 ",132.1 
201408,?????,???,???,"3,966 ","773,114 ","88,009,995 ",113.8 
201408,?????,???,???,82 ,"2,947,870 ","399,026,546 ",135.4 
201408,?????,???,???,27 ,"208,630 ","9,626,258 ",46.1 
201408,?????,???,???,"5,318 ","81,360,016 ","11,767,578,919 ",144.6 
201408,?????,???,? ?,"1,379 ","1,048,004 ","70,930,192 ",67.7 
201408,?????,???,???,"13,426 ","39,466,504 ","5,601,149,292 ",141.9 
201408,?????,???,???,"55,339 ","25,990,395 ","3,272,522,493 ",125.9 
201408,?????,???,??,"79,537 ","151,794,533 ","21,208,843,695 ",139.7 
201408,?????,???,???,"5,386 ","743,648 ","87,431,891 ",117.6 
201408,?????,???,???,112 ,"2,914,169 ","391,303,817 ",134.3 
201408,?????,???,???,21 ,"44,618 ","2,092,621 ",46.9 
201408,?????,???,???,"2,652 ","160,093,087 ","19,645,324,281 ",122.7 
201408,?????,???,? ?,"1,584 ","845,693 ","50,005,642 ",59.1 
201408,?????,???,???,"14,191 ","38,157,570 ","5,463,795,683 ",143.2 
201408,?????,???,???,"88,336 ","37,497,582 ","4,838,763,480 ",129 
201408,?????,???,??,"112,282 ","240,296,367 ","30,478,717,415 ",126.8 
201408,?????,??,???,"4,935 ","439,423 ","49,708,879 ",113.1 
201408,?????,??,???,43 ,"1,521,587 ","200,395,599 ",131.7 
201408,?????,??,???,26 ,"288,940 ","16,841,406 ",58.3 
201408,?????,??,???,473 ,"15,890,060 ","1,805,270,241 ",113.6 
201408,?????,??,? ?,"1,358 ","704,131 ","42,981,782 ",61 
201408,?????,??,???,"6,644 ","19,795,873 ","2,769,329,668 ",139.9 
201408,?????,??,???,"48,808 ","12,642,971 ","1,662,932,218 ",131.5 
201408,?????,??,??,"62,287 ","51,282,985 ","6,547,459,793 ",127.7 
201408,?????,???,???,"3,775 ","458,010 ","52,949,997 ",115.6 
201408,?????,???,???,40 ,"487,283 ","78,146,886 ",160.4 
201408,?????,???,???,10 ,"27,837 ","1,233,698 ",44.3 
201408,?????,???,???,418 ,"1,144,660 ","161,920,794 ",141.5 
201408,?????,???,? ?,"1,207 ","762,075 ","47,778,311 ",62.7 
201408,?????,???,???,"10,074 ","27,565,849 ","3,899,998,122 ",141.5 
201408,?????,???,???,"55,113 ","21,292,217 ","2,940,295,687 ",138.1 
201408,?????,???,??,"70,637 ","51,737,931 ","7,182,323,495 ",138.8 
201408,?????,???,???,"4,418 ","483,629 ","55,892,155 ",115.6 
201408,?????,???,???,49 ,"1,049,170 ","153,790,563 ",146.6 
201408,?????,???,???,9 ,"9,349 ","439,207 ",47 
201408,?????,???,???,587 ,"6,588,091 ","817,340,042 ",124.1 
201408,?????,???,? ?,"1,395 ","1,135,850 ","73,721,021 ",64.9 
201408,?????,???,???,"10,735 ","36,440,184 ","5,214,664,168 ",143.1 
201408,?????,???,???,"55,158 ","23,931,264 ","3,279,112,757 ",137 
201408,?????,???,??,"72,351 ","69,637,537 ","9,594,959,913 ",137.8 
201408,?????,???,???,"4,431 ","362,683 ","42,819,513 ",118.1 
201408,?????,???,???,49 ,"2,623,693 ","300,267,489 ",114.4 
201408,?????,???,???,1 ,"3,043 ","186,006 ",61.1 
201408,?????,???,???,"1,000 ","9,860,338 ","1,409,705,846 ",143 
201408,?????,???,? ?,"1,198 ","607,100 ","33,854,693 ",55.8 
201408,?????,???,???,"5,911 ","12,359,777 ","1,794,776,383 ",145.2 
201408,?????,???,???,"46,301 ","14,149,354 ","1,786,024,165 ",126.2 
201408,?????,???,??,"58,891 ","39,965,988 ","5,367,634,095 ",134.3 
201408,?????,??,???,"1,810 ","353,078 ","40,661,545 ",115.2 
201408,?????,??,???,21 ,"326,941 ","45,675,325 ",139.7 
201408,?????,??,???,1 ,"4,072 ","173,372 ",42.6 
201408,?????,??,???,458 ,"1,099,031 ","146,616,873 ",133.4 
201408,?????,??,? ?,564 ,"345,585 ","20,428,508 ",59.1 
201408,?????,??,???,"9,076 ","34,602,213 ","4,958,455,750 ",143.3 
201408,?????,??,???,"24,505 ","5,267,460 ","686,526,315 ",130.3 
201408,?????,??,??,"36,435 ","41,998,380 ","5,898,537,688 ",140.4 
201408,?????,????,???,"4,769 ","1,554,911 ","179,830,841 ",115.7 
201408,?????,????,???,121 ,"2,737,672 ","389,090,721 ",142.1 
201408,?????,????,???,95 ,"274,965 ","12,732,345 ",46.3 
201408,?????,????,???,992 ,"19,426,893 ","2,450,938,090 ",126.2 
201408,?????,????,? ?,"1,136 ","3,017,224 ","184,976,132 ",61.3 
201408,?????,????,???,"13,651 ","83,945,584 ","11,584,828,685 ",138 
201408,?????,????,???,"70,967 ","56,867,348 ","8,444,173,758 ",148.5 
201408,?????,????,??,"91,731 ","167,824,597 ","23,246,570,572 ",138.5 
201409,?????,???,???,"4,573 ","1,903,669 ","227,539,182 ",119.5 
201409,?????,???,???,44 ,"462,766 ","61,810,435 ",133.6 
201409,?????,???,???,"4,636 ","6,310,509 ","236,839,505 ",37.5 
201409,?????,???,???,"4,967 ","229,739,774 ","24,413,410,066 ",106.3 
201409,?????,???,? ?,"2,157 ","934,948 ","52,191,827 ",55.8 
201409,?????,???,???,"7,479 ","20,409,712 ","2,760,819,321 ",135.3 
201409,?????,???,???,"19,217 ","8,554,095 ","1,193,717,324 ",139.5 
201409,?????,???,??,"43,073 ","268,315,473 ","28,946,327,660 ",107.9 
201409,?????,???,???,"4,917 ","821,616 ","91,296,654 ",111.1 
201409,?????,???,???,98 ,"5,296,141 ","582,393,145 ",110 
201409,?????,???,???,593 ,"207,800 ","12,905,835 ",62.1 
201409,?????,???,???,"1,427 ","19,626,809 ","2,216,358,298 ",112.9 
201409,?????,???,? ?,"2,214 ","1,262,635 ","71,188,998 ",56.4 
201409,?????,???,???,"15,099 ","30,934,566 ","3,996,712,390 ",129.2 
201409,?????,???,???,"79,473 ","26,749,814 ","3,368,767,112 ",125.9 
201409,?????,???,??,"103,821 ","84,899,381 ","10,339,622,432 ",121.8 
201409,?????,???,???,"5,498 ","1,186,524 ","134,767,148 ",113.6 
201409,?????,???,???,41 ,"591,539 ","82,843,920 ",140 
201409,?????,???,???,"3,950 ","2,391,695 ","119,888,388 ",50.1 
201409,?????,???,???,"1,341 ","55,813,952 ","6,517,438,234 ",116.8 
201409,?????,???,? ?,"1,878 ","1,187,475 ","74,127,835 ",62.4 
201409,?????,???,???,"7,030 ","17,562,828 ","2,295,796,790 ",130.7 
201409,?????,???,???,"26,635 ","8,418,840 ","1,016,684,992 ",120.8 
201409,?????,???,??,"46,373 ","87,152,853 ","10,241,547,307 ",117.5 
201409,?????,??,???,"5,780 ","929,308 ","101,010,799 ",108.7 
201409,?????,??,???,94 ,"5,327,789 ","554,365,678 ",104.1 
201409,?????,??,???,20 ,"64,104 ","2,868,021 ",44.7 
201409,?????,??,???,786 ,"42,754,056 ","3,890,423,719 ",91 
201409,?????,??,? ?,"1,380 ","1,382,549 ","92,784,961 ",67.1 
201409,?????,??,???,"11,827 ","30,585,604 ","3,961,616,499 ",129.5 
201409,?????,??,???,"82,600 ","31,373,851 ","3,964,624,114 ",126.4 
201409,?????,??,??,"102,487 ","112,417,261 ","12,567,693,791 ",111.8 
201409,?????,??,???,"3,564 ","471,818 ","51,392,720 ",108.9 
201409,?????,??,???,31 ,"457,213 ","59,916,231 ",131 
201409,?????,??,???,5 ,"4,511 ","299,751 ",66.4 
201409,?????,??,???,444 ,"6,398,671 ","674,579,592 ",105.4 
201409,?????,??,? ?,"1,127 ","807,753 ","45,404,914 ",56.2 
201409,?????,??,???,"7,587 ","24,224,934 ","3,056,126,599 ",126.2 
201409,?????,??,???,"40,976 ","9,703,735 ","1,183,646,309 ",122 
201409,?????,??,??,"53,734 ","42,068,635 ","5,071,366,116 ",120.5 
201409,?????,???,???,"4,801 ","678,363 ","76,725,844 ",113.1 
201409,?????,???,???,87 ,"1,298,210 ","168,019,863 ",129.4 
201409,?????,???,???,16 ,"21,392 ","1,040,857 ",48.7 
201409,?????,???,???,831 ,"7,479,846 ","727,559,551 ",97.3 
201409,?????,???,? ?,"2,192 ","829,876 ","46,242,915 ",55.7 
201409,?????,???,???,"15,498 ","35,936,272 ","4,582,967,643 ",127.5 
201409,?????,???,???,"72,290 ","28,709,716 ","3,665,270,201 ",127.7 
201409,?????,???,??,"95,715 ","74,953,675 ","9,267,826,874 ",123.6 
201409,?????,????,???,"9,956 ","1,346,486 ","146,764,159 ",109 
201409,?????,????,???,131 ,"3,967,656 ","459,823,239 ",115.9 
201409,?????,????,???,33 ,"111,241 ","4,974,137 ",44.7 
201409,?????,????,???,"1,903 ","17,510,822 ","1,796,484,455 ",102.6 
201409,?????,????,? ?,"3,368 ","1,897,151 ","116,036,077 ",61.2 
